word,cluster
на,570
и,570
во,570
сум,570
за,570
да,570
од,570
себе,570
со,570
тој,570
кој,570
ќе,570
тие,570
не,134
таа,570
а,570
ако,570
што,134
2015,1120
дека,134
close,414
connection,414
net,753
gmt,414
oct,753
date,753
како,134
има,269
овој,570
може,427
година,1050
многу,1140
вие,427
тоа,134
биде,570
по,570
еден,733
нов,1043
до,477
16,1120
или,818
свој,570
1,650
голем,307
content,753
2,190
length,753
сиот,570
јас,328
нема,151
ден,106
3,190
17,1120
сака,230
ваш,853
дел,106
кога,1179
Македонија,533
fri,753
5,190
треба,570
време,241
но,46
без,1185
само,570
пред,1126
4,190
некој,271
ти,230
добар,352
друг,1183
10,1120
прв,1044
работа,734
12,1120
18,1120
20,1120
наш,470
би,134
човек,148
19,1120
бидејќи,570
уште,555
свет,445
секој,173
sat,753
направи,937
тогаш,1179
негов,981
цел,1134
ние,537
15,1120
6,190
кај,399
два,822
11,1120
оној,148
автомобил,726
број,1155
македонски,533
па,1180
мој,106
така,134
место,129
Скопје,1119
дали,945
00,106
дете,666
знае,3
7,190
13,1120
14,1120
живот,231
кон,1146
пат,854
21,1120
земја,1108
нивен,320
мал,494
преку,681
нешто,271
веќе,277
8,190
каде,399
види,79
добие,352
производ,13
страна,838
2014,1141
час,196
0,650
прави,1116
22,1120
малку,1140
ист,30
при,1085
mk,427
сега,134
30,1120
користи,30
компанија,29
лице,785
апликација,346
проблем,859
by,1152
видео,239
x,622
9,190
ама,328
начин,301
жена,975
вели,448
помош,472
неколку,1062
страница,472
град,1178
работи,158
месец,760
мора,789
околу,959
додека,966
бара,912
игра,582
sun,753
систем,383
избор,94
23,1120
вода,988
против,227
одлука,707
2013,1141
втор,1044
љубов,431
сам,148
добро,352
поради,485
светски,686
колку,88
google,472
цена,333
информација,665
последен,700
ни,943
член,154
потребен,394
под,433
милион,1020
познат,1111
mon,753
висок,831
американски,1018
стане,218
тим,1186
октомври,1141
тело,302
рече,368
според,35
пак,1179
07,1120
три,822
центар,285
одговара,905
оди,177
24,408
модел,264
нејзин,157
евро,1020
25,1120
денес,286
секс,182
корисник,853
гледа,45
меѓу,861
the,675
направен,472
зошто,134
крај,661
08,1120
претседател,5
затоа,134
можност,160
50,74
долг,1088
празник,722
право,1116
исто,134
06,1120
име,638
09,1120
боја,1076
2012,1141
2011,1141
дојде,238
02,1120
разлика,1058
01,1120
општина,917
програма,1109
проект,872
држава,801
постои,475
фотографија,87
купува,453
000,936
збор,225
врска,406
каже,271
прашање,3
03,1120
вистински,606
европски,250
cache,707
бог,706
почне,44
туку,470
храна,37
доколку,88
филм,669
accept,622
период,1010
05,1120
промена,1106
низ,1001
стар,1136
активност,636
известува,453
врз,415
in,449
млад,543
секогаш,1179
04,1120
форма,674
нуди,51
момент,36
